#        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
#       Energy      Elec.      Nuclear     Range     Straggling   Straggling
#  --------------  ---------- ---------- ----------  ----------  ----------
 700.00 keV   9.597E+02  9.859E+02    3061 A       880 A       682 A   
 800.00 keV   1.051E+03  9.256E+02    3506 A       976 A       770 A   
 900.00 keV   1.138E+03  8.734E+02    3946 A      1066 A       856 A   
   1.00 MeV   1.222E+03  8.277E+02    4380 A      1150 A       939 A   
   1.10 MeV   1.303E+03  7.874E+02    4809 A      1228 A      1020 A   
   1.20 MeV   1.382E+03  7.514E+02    5232 A      1302 A      1097 A   
   1.30 MeV   1.460E+03  7.191E+02    5648 A      1371 A      1172 A   
   1.40 MeV   1.536E+03  6.899E+02    6057 A      1437 A      1244 A   
   1.50 MeV   1.611E+03  6.633E+02    6459 A      1498 A      1313 A   
   1.60 MeV   1.686E+03  6.390E+02    6854 A      1556 A      1380 A   
   1.70 MeV   1.760E+03  6.168E+02    7241 A      1610 A      1444 A   
   1.80 MeV   1.833E+03  5.962E+02    7622 A      1661 A      1506 A   
   2.00 MeV   1.979E+03  5.595E+02    8361 A      1757 A      1623 A   
   2.25 MeV   2.161E+03  5.204E+02    9246 A      1863 A      1757 A   
   2.50 MeV   2.341E+03  4.871E+02    1.01 um     1955 A      1879 A   
   2.75 MeV   2.520E+03  4.584E+02    1.09 um     2036 A      1991 A   
   3.00 MeV   2.697E+03  4.333E+02    1.17 um     2108 A      2093 A   
   3.25 MeV   2.873E+03  4.111E+02    1.24 um     2172 A      2187 A   
   3.50 MeV   3.048E+03  3.914E+02    1.31 um     2229 A      2273 A   
   3.75 MeV   3.221E+03  3.738E+02    1.38 um     2280 A      2352 A   
   4.00 MeV   3.391E+03  3.578E+02    1.44 um     2327 A      2425 A   
   4.50 MeV   3.726E+03  3.301E+02    1.57 um     2409 A      2557 A   
   5.00 MeV   4.051E+03  3.069E+02    1.68 um     2478 A      2671 A   
   5.50 MeV   4.365E+03  2.871E+02    1.79 um     2537 A      2771 A   
   6.00 MeV   4.669E+03  2.699E+02    1.89 um     2587 A      2860 A   
   6.50 MeV   4.962E+03  2.549E+02    1.98 um     2630 A      2939 A   
   7.00 MeV   5.243E+03  2.417E+02    2.07 um     2668 A      3010 A   
   8.00 MeV   5.773E+03  2.193E+02    2.24 um     2737 A      3133 A   
   9.00 MeV   6.260E+03  2.011E+02    2.40 um     2793 A      3236 A   
  10.00 MeV   6.707E+03  1.860E+02    2.55 um     2840 A      3324 A   
  11.00 MeV   7.116E+03  1.732E+02    2.69 um     2880 A      3401 A   
  12.00 MeV   7.490E+03  1.622E+02    2.82 um     2914 A      3469 A   
  13.00 MeV   7.833E+03  1.527E+02    2.94 um     2944 A      3530 A   
  14.00 MeV   8.148E+03  1.443E+02    3.07 um     2971 A      3584 A   
  15.00 MeV   8.436E+03  1.368E+02    3.18 um     2995 A      3634 A   
  16.00 MeV   8.702E+03  1.302E+02    3.30 um     3017 A      3680 A   
  17.00 MeV   8.946E+03  1.243E+02    3.41 um     3037 A      3722 A   
  18.00 MeV   9.172E+03  1.189E+02    3.52 um     3056 A      3761 A   
  20.00 MeV   9.575E+03  1.095E+02    3.72 um     3097 A      3832 A   
  22.50 MeV   1.001E+04  9.983E+01    3.97 um     3145 A      3910 A   
  25.00 MeV   1.037E+04  9.186E+01    4.22 um     3187 A      3978 A   
  27.50 MeV   1.069E+04  8.516E+01    4.45 um     3226 A      4039 A   
  30.00 MeV   1.096E+04  7.945E+01    4.68 um     3261 A      4094 A   
