proton 	938.272 	12.9548  1  3316.94  2516
proton 	938.272 	21.9328  1  3316.94  2524
proton 	938.272 	37.4891  1  3316.94  2525
proton 	938.272 	52.639  1  3316.94  2526
Cl37 	34424.8 	0.0702501  1  -996.463  8621
Cl35 	32564.6 	0.157676  1  3644.09  1980
Cl35 	32564.6 	0.129134  1  3952.8  1530
Na23 	21409.2 	0.123543  1  -4567.87  13908
Cl35 	32564.6 	0.0862966  1  -841.648  8549
Na23 	21409.2 	0.145813  1  -1176.62  9050
Na23 	21409.2 	1.53856  1  -2117.19  10346
Cl35 	32564.6 	0.0837615  1  4794.77  282
Na23 	21409.2 	0.146042  1  -2603.43  11251
Na23 	21409.2 	0.167172  1  -1726.44  9954
Na23 	21409.2 	0.127747  1  3716.68  1910
Na23 	21409.2 	0.173051  1  93.9263  7305
Cl35 	32564.6 	0.159041  1  -1751.86  9774
Cl35 	32564.6 	0.146747  1  -1793.82  9915
Na23 	21409.2 	0.150738  1  1190.57  5515
Cl37 	34424.8 	0.0841759  1  -261.335  7709
Cl35 	32564.6 	0.33636  1  159.883  7252
Na23 	21409.2 	0.116904  1  -1938.86  10186
Cl37 	34424.8 	0.151305  1  -700.324  8422
Na23 	21409.2 	0.303487  1  4083.71  1337
Cl35 	32564.6 	0.181484  1  2096.94  4209
Cl37 	34424.8 	0.29627  1  2704.59  3335
Na23 	21409.2 	0.180296  1  -1840.31  10185
Na23 	21409.2 	0.127814  1  4383.59  915
Cl35 	32564.6 	0.0750985  1  862.584  6060
Cl37 	34424.8 	0.1817  1  4300.83  1035
Na23 	21409.2 	0.140993  1  4354.54  985
Cl35 	32564.6 	0.0807106  1  -2566.47  10945
Na23 	21409.2 	1.16159  1  -4772.61  14477
Cl35 	32564.6 	0.0888389  1  -1208.43  9145
Cl37 	34424.8 	0.0875467  1  -1326.1  9274
Na23 	21409.2 	0.107442  1  1535.94  4990
Cl35 	32564.6 	0.0947245  1  -1827.7  9916
Na23 	21409.2 	0.179637  1  -654.787  8335
Cl35 	32564.6 	0.468268  1  -531.684  8139
Cl35 	32564.6 	0.0852878  1  3522.61  2144
Cl35 	32564.6 	0.073846  1  -3400.65  12199
Cl35 	32564.6 	0.0985377  1  -3614.6  12508
Cl35 	32564.6 	0.0726092  1  4291.14  1032
Cl35 	32564.6 	0.154469  1  -679.042  8244
Cl35 	32564.6 	0.0758643  1  2600.9  3514
Cl35 	32564.6 	0.0784484  1  754.034  6176
Cl35 	32564.6 	0.0884586  1  2864.14  3171
Cl35 	32564.6 	0.127642  1  -4159.86  13454
Na23 	21409.2 	0.128191  1  4356.05  978
Na23 	21409.2 	0.281391  1  -2417.78  10888
Cl35 	32564.6 	0.194444  1  -4370.44  13791
proton 	938.272 	190.961  1  1283.42  5458
proton 	938.272 	141.787  1  1283.42  5462
proton 	938.272 	4514.1  1  1283.42  5481
proton 	938.272 	15.9517  1  1283.42  5500
proton 	938.272 	4.62172  1  1283.42  5506
Be7 	6534.18 	30.5564  1  1283.42  5507
Na23 	21409.2 	0.163281  1  -1107.58  8997
Cl37 	34424.8 	0.251565  1  2243.17  4003
Cl35 	32564.6 	0.0672747  1  2653.14  3370
Cl35 	32564.6 	0.259266  1  -4210.48  13645
Cl35 	32564.6 	0.0848693  1  -4505.4  13970
Na23 	21409.2 	0.174783  1  2477.18  3644
Na23 	21409.2 	0.101585  1  3202.69  2648
Cl35 	32564.6 	0.155953  1  -1002.22  8709
Na23 	21409.2 	0.106073  1  -2116.66  10470
Na23 	21409.2 	0.175644  1  1769.67  4682
Cl35 	32564.6 	0.0884139  1  -1972.11  10237
P30 	27917 	0.509964  1  2962.23  2916
proton 	938.272 	9.96609  1  2962.23  2917
proton 	938.272 	8.94421  1  2962.23  2918
Cl35 	32564.6 	0.324311  1  -1831.87  9985
Cl35 	32564.6 	0.12765  1  -4307.04  13572
proton 	938.272 	125.516  1  -1231.17  9093
proton 	938.272 	83.5911  1  -1231.17  9095
proton 	938.272 	6.62579  1  -1231.17  9102
proton 	938.272 	4.03184  1  -1231.17  9103
Mg24 	22335.8 	4.38387  1  -1231.17  9107
Cl35 	32564.6 	0.0859548  1  -487.636  8075
Cl37 	34424.8 	0.21596  1  1314.11  5392
Na23 	21409.2 	0.685528  1  3945.33  1518
Na23 	21409.2 	0.200533  1  1830.91  4652
Cl35 	32564.6 	0.110848  1  -4529.59  13933
Cl35 	32564.6 	0.0723009  1  -88.6489  7267
Na23 	21409.2 	0.113361  1  3642.58  1994
proton 	938.272 	3.08375  1  100.082  7112
S34 	31632.7 	2.37986  1  100.082  7116
proton 	938.272 	4.96641  1  2649.42  3355
S32 	29773.6 	0.452512  1  2649.42  3359
Cl37 	34424.8 	0.0779049  1  -277.787  7756
Na23 	21409.2 	0.141955  1  -1029.41  8828
Cl35 	32564.6 	0.151021  1  2162.76  4096
Cl35 	32564.6 	0.343845  1  470.844  6521
Na23 	21409.2 	0.125321  1  3178.24  2661
Na23 	21409.2 	0.122281  1  -3158.37  11949
Cl35 	32564.6 	0.0724148  1  2958.26  2998
Na23 	21409.2 	0.131669  1  -3034.56  11954
Cl35 	32564.6 	0.146901  1  -178.389  7583
Cl35 	32564.6 	0.0963605  1  -3298.1  12109
Cl35 	32564.6 	0.0927389  1  2461.22  3746
Na23 	21409.2 	0.178496  1  3424.09  2224
Cl35 	32564.6 	0.0829725  1  -1707.5  9962
Cl37 	34424.8 	0.103924  1  -3440.21  12553
Na23 	21409.2 	0.129961  1  -3382.77  12207
Cl37 	34424.8 	0.112024  1  -3525.43  12633
